"rank","search_url","search_keyword","title","author","doi_url","keywords","abstract","pdf_name","higtlight","lang","search_site"
20,"https://academic.naver.com/article.naver?doc_id=594330455","소재개질","Properties of Polyethylene/Bottom Ash Composites Using Various Particle Size and Surface-modified Bottom Ash","최재원, 김하연, 정용찬, 전병철","http://dx.doi.org/http://dx.doi.org/10.12772/TSE.2013.50.068",", , Bottom ash, Plastics, Surface modification, composites","Surface treated bottom ash was utilized as a filler to prepare plastic composites. Bottom ash surface was modified with octyltriethylammonium bromide (OTAB) or hexyltriethylammonium bromide (HTAB) by ion exchange procedure in methanol solution. Surface-modified bottom ash was then melt-compounded with HDPE to investigate its compatibility with the matrix material. The mechanical properties such as tensile, compressive, and impact strength, in addition to morphologies, were analyzed to determine the advantage of surface treatment compared to using bottom ash without treatment. Tensile strength and compressive strength increased with increasing bottom ash content.","","","eng","naver"
33,"https://academic.naver.com/article.naver?doc_id=288504259","필터 여재","Modeling of Suspended Solid Clogging of Porous Media in Urban Stormwater Infiltration Facility","이병식, 김이형, 이관호, 전평구, Segismundo E","http://dx.doi.org/10.9798/KOSHAM.2014.14.6.427",", , , , , soil filter, logging model, nfiltration, ermeability, tormwater BMP(Best Management Practice), clogging model, infiltration, permeability, stormwater BMP(Best Management Practice)","Infiltration facilities are applied increasingly as effective BMPs to the urban stormwater control. The important functions of the facilities are surface flow reduction, contaminants elimination and aquifer recharge resulting from filtration, retention and infiltration of stormwater by porous media. A major obstacle in operating infiltration facilities is clogging. Filters of porous media in the facility are clogged by deposition of sediment over time. Clogging reduces infiltration rate and lifespan of the facility. Clogging, thus, needs to be considered as one of the important design factors in constructing infiltration facilities. In this study, 3 clogging models were chosen to simulate clogging, which developed in different disciplines, environmental and geotechnical engineering. Since the models were developed initially for fine media, applicability to coarse media interested in this study needed to be examined. To examine the applicability of models, analytical procedures of models were thoroughly reviewed. Parametric studies were also conducted to determine appropriate input parameters. Finally, the models represented relatively appropriate applicability to estimate clogging developed in an artificial infiltration as well as a real infiltration testing conditions. Although further studies are still needed for considerable aspects in input parameters and equations, the models could be suggested as effective analytical tools to estimate clogging developed in infiltration facilities of urban stormwater.","","","eng","naver"
19,"https://academic.naver.com/article.naver?doc_id=181770898","소재개질","Properties of Polyethylene/Bottom Ash Composites Using Various Particle Size and Surface-modified Bottom Ash","최재원, 김하연, 정용찬, 전병철","http://dx.doi.org/http://dx.doi.org/10.12772/TSE.2013.50.068",", , Bottom ash, Plastics, Surface modification, composites","Surface treated bottom ash was utilized as a filler to prepare plastic composites. Bottom ash surface was modified with octyltriethylammonium bromide (OTAB) or hexyltriethylammonium bromide (HTAB) by ion exchange procedure in methanol solution. Surface-modified bottom ash was then melt-compounded with HDPE to investigate its compatibility with the matrix material. The mechanical properties such as tensile, compressive, and impact strength, in addition to morphologies, were analyzed to determine the advantage of surface treatment compared to using bottom ash without treatment. Tensile strength and compressive strength increased with increasing bottom ash content.","","","eng","naver"
404,"https://academic.naver.com/article.naver?doc_id=420515542","화합물","Generation characteristics of airborne fungi and fungal volatile organic compounds in single person households","김리나, 서성철, 김정대, 김대근","http://dx.doi.org/http://dx.doi.org/10.15250/joie.2017.16.3.259","Airborne fungi, Generation, MVOCs, Single person household","The aim of this study was to examine indoor fungal concentration and fungal volatile organic compounds(VOCs) in single-person households. A total of 22 houses occupied by one person were investigated in this study. 19 VOCs detected in the field were estimated as fungi-derived VOCs through a review of the literature, and 11 VOCs were confirmed as fungal VOCs by laboratory experiments. Exposure to fungal VOCs in the indoor environment has been confirmed to be highly influenced by airborne fungal concentration and indoor humidity. 3-octanone was characterized by a clear generation profile in Aspergilus versiocolor, and n-decane in Pencillum chrysogenum. ntetradecane emitted by Stachybotrys chartarum exhibited a tendency to occur consistently. The observations made in this study demonstrated that single-person households can easily be exposed to fungi, and MVOCs can be used as an indicator of fungal exposure in indoor environments.","","","eng",""
1007,"https://academic.naver.com/article.naver?doc_id=601826004","화합물","Health effects on workers and actual exposure of VOCs in the nail shops","김난희, 민경우, 조광운, 서동주, 임경훈, 정원삼, 조영관, 양진석","http://dx.doi.org/http://dx.doi.org/10.15269/JKSOEH.2017.27.1.59","exposure level, health check-up, indoor air quality, nail shop, VOCs","Objectives: The objective of this study is to evaluate the exposure of VOCs and effects of the chemicals on the nail technicians whose works in a nail shop. Methods: For four month from May to August in 2016, we measured twenty-two kinds of VOCs in ten nail shops and carried out health examinations on thirty-four workers in there. Results: The TVOC concentration in indoor air of nail shops is $0.487mg/m^3$ at a minimum and $33.236mg/m^3$ at a maximum where it consists of 70.5% of Ketones, 25.4% of Alcohols, 2.6% of Esters, 0.8% of Aldehydes and 0.7% of Aromatics. The VOCs concentration during nail art works shows an increase in average ratio 1.8 compared to the concentration of indoor air quality and also the concentration of Isopropanol rose with 3.2 of the highest ratio. The results of Spearman correlation between TVOC concentration in indoor air and environmental factor was like that has significance level of correlation(${\rho}$<0.05, r=0.682) in case of number of customers per day, but the other factors were not meaningful in correlation. Correlation between VOCs and medical check-up items was like that has positive significance level(${\rho}$<0.01, r=0.638) between isopropanol and GPT, but the others have not meaningful. The exposure level of VOCs was not exceed the criteria exposure level 1 of working environment measuring method which announced by labor ministry in all ten nail shop indoor air quality. Conclusions: In this study although it was not significant correlation between harmful substances and medical check-up items in the nail shop indoor air quality, it is necessary to do more ventilation and to install exhaust facilities because of existing high VOCs concentration in the nail shop indoor air.","62285eda9d6145cf85374378f14a388f","","eng","naver"
1071,"https://academic.naver.com/article.naver?doc_id=594384792","침전","The Characteristics Analysis and Manufacture of Metal Explosive(ZPP) on PMD","심정섭, 김상백, 안길환, 김준형","http://dx.doi.org/http://dx.doi.org/10.6108/KSPE.2016.20.3.025",", , , , ZPP, CEA, Viton, Precipitation Method","This research investigated the manufacturing process and characteristics analysis of ZPP(Zirconium Potassium Perchlorate) as pyrotechnic are commonly found in the aerospace, defense, and automotive industries. A solid pyrotechnic mixture is composed of an oxidizing agent, fuel, and binder. Precipitation process was used to uniformly mix the raw material. Through the analysis of the material characteristics and thermal response is designed optimum ratio by NASA CEA program. It was compared by performing the evaluation of these size, shape and calorimetry characteristics.","3cba699fe41d448fbcf4e0a71fa419dc","","eng","naver"
1025,"https://academic.naver.com/article.naver?doc_id=594165587","침전","Removal of Copper from the Solution Containing Copper, Nickel, Cobalt and Iron","박경호, 남철우, 김현호, S.P. Barik","http://dx.doi.org/http://dx.doi.org/10.7844/kirr.2013.22.6.48",", , , , , copper removal, precipitation, hydroxide, sulphide, ion exchange","The methods to separate and remove copper in the mixed solution ((399 ppm Cu, 208 ppm Fe, 15.3 g/L Ni, 2.1 g/L Co) with nickel, cobalt and iron were investigated. With hydroxide precipitation method, copper and iron ions were completely precipitated and removed from the solution at pH 7 while some nickel and cobalt also were precipitated. 99.75% copper could be precipitated and removed as copper sulfide from the solution with adding $Na_2S$ (1.25 w/v concentration) of 2 times equivalent of Cu at pH 1. Copper was selectively absorbed on TP 207 ion exchange resin at equilibrium pH 2.0 and could be eluted from copper-loaded resin using 5% $H_2SO_4$.","20330e4a75ca447e835e2b6bb9b2c0f5","","eng","naver"
947,"https://academic.naver.com/article.naver?doc_id=594869334","공기","A Study on the Hypersonic Air-breathing Engine Ground Test Facility Composition and Characteristics","이양지, 강상훈, 양수석","http://dx.doi.org/http://dx.doi.org/10.6108/KSPE.2015.19.6.081",", , , , , Hypersonic Air-breathing Engine Ground Test Facility, Hypersonic Air-breathing Propulsion System, Air Ejector System, Pitot-rake, Normal Shock Efficiency, hypersonicairbreathingenginegroundtestfacility, hypersonicairbreathingpropulsionsystem, airejectorsystem, pitotrake, normalshockefficiency","In order to know the characteristics of the hypersonic air-breahting engine, high altitude and Mach number ground test is necessary. Therefore, high pressure and high temperature condition should be simulated to do ground test of the hypersonic air-breathing engine. In this paper, the hypersonic air-breathing engine ground test facility of the Korea Aerospace Research Institute was introduced and the composition and characteristics were described.","c21c5100b81b48199499041105b16718","","eng","naver"
588,"https://academic.naver.com/article.naver?doc_id=420684082","코팅","A Study on the Nano Silica-Sol Coating for Improving Performance of Recycled Aggregate","김성수, 이정배, 고지수, 김일곤","http://dx.doi.org/http://dx.doi.org/10.11112/jksmi.2013.17.4.084",", , , Silica-Sol, Coating, Recycled aggregate","In this study we propose an effective method, Coating processing methods, which can improve the quality of recycled aggregate relatively easily without new equipment investment and complex treatment process and verify the improved effect using the devised method, Coating processing methods. To attain the research aim we used adequately diluted silicate solution for coating and carried out several property valuation for twelve types of material with different coating method. Also we formed concrete with coated aggregates which showed the best property. In conclusion the aggregates with the method of repeated impregnation in the silicate and drying showed the most excellent quality while other coating methods also resulted in an improvement of aggregate quality but failed to meet the KS Standard. Lastly with the optimal material we could obtain the approved compressive strength from the concrete allowing it to be utilized for road facility of which standard compressive strength of design is under 24MPa.","41619115d9cf462c9080e19d84ea1371","","eng","naver"
985,"https://academic.naver.com/article.naver?doc_id=443872569","다공성","Hydrogen Perm-Selectivity Property of the Palladium Hydrogen Separation Membranes on Porous Stainless Steel Support Manufactured by Metal Injection Molding","김세홍, 양지혜, 임다솔, 김동원","http://dx.doi.org/http://dx.doi.org/10.5695/JKISE.2017.50.2.98","Pd hydrogen separation membrane, Perm-selectivity, Porous stainless steel support, Sputter deposition, Surface treatment, Metal injection molding","Pd-based membranes have been widely used in hydrogen purification and separation due to their high hydrogen diffusivity and infinite selectivity. However, it has been difficult to fabricate thin and dense Pd-based membranes on a porous stainless steel(PSS) support. In case of a conventional PSS support having the large size of surface pores, it was required to use complex surface treatment and thick Pd coating more than $6{\mu}m$ on the PSS was required in order to form pore free surface. In this study, we could fabricate thin and dense Pd membrane with only $3{\mu}m$ Pd layer on a new PSS support manufactured by metal injection molding(MIM). The PSS support had low surface roughness and mean pore size of $5{\mu}m$. Pd membrane were prepared by advanced Pd sputter deposition on the modified PSS support using fine polishing and YSZ vacuum filling surface treatment. At temperature $400^{\circ}C$ and transmembrane pressure difference of 1 bar, hydrogen flux and selectivity of $H_2/N_2$ were $11.22ml\;cm^{-2}min^{-1}$ and infinity, respectively. Comparing with $6{\mu}m$ Pd membrane, $3{\mu}m$ Pd membrane showed 2.5 times higher hydrogen flux which could be due to the decreased Pd layer thickness from $6{\mu}m$ to $3{\mu}m$ and an increased porosity. It was also found that pressure exponent was changed from 0.5 on $6{\mu}m$ Pd membrane to 0.8 on $3{\mu}m$ Pd membrane.","73b04a89f92049e3b0d2c13407ff28b7","","eng","naver"
