rank,search_url,search_keyword,title,author,doi_url,keywords,abstract,highlight,lang,search_site
2,https://academic.naver.com/article.naver?doc_id=308885435,hcho removal,ZnO modified TiO2 nanotube array supported Pt catalyst for HCHO removal under mild conditions,"Huayao Chen, Minni Tang, Zebao Rui, Xuyu Wang, Hongbing Ji",http://dx.doi.org/10.1016/j.cattod.2015.08.024,"Formaldehyde, Catalytic oxidation, Pt, ZnO, TiO2 nanotube, In-situ DRIFTS","Highly-ordered pore-through TiO2 nanotube arrays (TiNT) are modified with ZnO and then used as the support for a Pt/ZnO/TiNT catalyst. The Pt/ZnO/TiNT is applied to the trace HCHO oxidation under mild conditions. In comparison with the Pt/TiNT without ZnO modification, monolith-like Pt/ZnO/TiNT shows higher activity under parallel preparation and test conditions. A HCHO conversion of 95% with more than 100 h stable performance is achieved over 0.2 wt.% Pt/ZnO/TiNT at 30 °C. The effect of ZnO modification on the structural properties and catalytic performance of Pt/ZnO/TiNT are investigated. The superior performances are related to the enhanced HCHO storage capacity of ZnO/TiNT support, the specific monolith-like structure and the modified metal–support interaction in Pt/ZnO/TiNT.",,eng,naver
6,https://academic.naver.com/article.naver?doc_id=436180947,hcho removal,Promotional removal of HCHO from simulated flue gas over Mn-Fe oxides modified activated coke,"Xueyu Du, Caiting Li, Lingkui Zhao, Jie Zhang, Lei Gao, Jingjing Sheng, Yaoyao Yi, Jiaqiang Chen, Guangming Zeng",http://dx.doi.org/10.1016/j.apcatb.2018.03.034,"HCHO, Mn-Fe oxides, Activated coke, Catalytic removal","A series of MnxFey/AC catalysts synthesized by impregnation method were investigated on the efficient and stable removal of HCHO in the fix-bed reactor. Extensive characterizations, BET, SEM, XRD, H2-TPR, XPS and FT-IR, were conducted to study the physicochemical properties, HCHO oxidation and surface reaction of catalysts. The optimal Mn0.75Fe6.02/AC showed enhanced HCHO removal efficiency of 98.30%, as well as excellent performance for simultaneous removal of HCHO (89.96%) and Hg0 (77.51%). NO and SO2 balanced in N2 would inhibit the removal of HCHO, while the addition of 6% O2 weakened the negative effect of SO2 and NO + 6% O2 facilitated the removal of HCHO. Besides, the slight promotion effect of water vapor was contributed to the regeneration of consumed −OH via the activation of surface oxygen by adsorbed H2O. Characterization results indicated that Mn0.75Fe6.02/AC possessed larger BET surface area, well-developed porosity and better dispersion of active components. Mn0.75Fe6.02/AC exhibited higher reducibility due to the synergistic effect between MnOx and FeOx, and the interaction between Mn-Fe oxides and AC support. At the same time, the oxygen-containing functional groups (C-O-, COO), abundant active surface oxygen and –OH facilitated both adsorption and oxidation of HCHO. Besides, the formate and carbonate intermediates formed on the surface of Mn0.75Fe6.02/AC in HCHO removal process, which could be further oxidized into CO2 and H2O. On the basis of above investigations, the mechanism of enhanced HCHO catalytic removal over MnxFey/AC was proposed.",Download : Download high-res image (169KB)Download : Download full-size image,eng,naver
7,https://academic.naver.com/article.naver?doc_id=428663809,hcho removal,ZnO modified TiO2 nanotube array supported Pt catalyst for HCHO removal under mild conditions,"Huayao Chen, Minni Tang, Zebao Rui, Xuyu Wang, Hongbing Ji",http://dx.doi.org/10.1016/j.cattod.2015.08.024,"Formaldehyde, Catalytic oxidation, Pt, ZnO, TiO2 nanotube, In-situ DRIFTS","Highly-ordered pore-through TiO2 nanotube arrays (TiNT) are modified with ZnO and then used as the support for a Pt/ZnO/TiNT catalyst. The Pt/ZnO/TiNT is applied to the trace HCHO oxidation under mild conditions. In comparison with the Pt/TiNT without ZnO modification, monolith-like Pt/ZnO/TiNT shows higher activity under parallel preparation and test conditions. A HCHO conversion of 95% with more than 100 h stable performance is achieved over 0.2 wt.% Pt/ZnO/TiNT at 30 °C. The effect of ZnO modification on the structural properties and catalytic performance of Pt/ZnO/TiNT are investigated. The superior performances are related to the enhanced HCHO storage capacity of ZnO/TiNT support, the specific monolith-like structure and the modified metal–support interaction in Pt/ZnO/TiNT.",,eng,naver
8,https://academic.naver.com/article.naver?doc_id=547192865,hcho removal,Efficient removal of HCHO from simulated coal combustion flue gas using CuO-CeO2 supported on cylindrical activated coke,"Sheng Jingjing, Li Caiting, Zhao Lingkui, Du Xueyu, Gao Lei, Zeng Guangming",http://dx.doi.org/10.1016/j.fuel.2017.02.056,"Formaldehyde, CuO-CeO2, Activated coke, Catalytic oxidation","To achieve novel sorbent-catalysts with low cost and high activity for removing HCHO in flue gas, we prepared and investigated CuO-CeO2 supported on activated coke granules (CuCe/AC) for decomposition of gaseous formaldehyde (HCHO) from simulated coal combustion flue gas. The results indicated that Cu3Ce8/AC exhibited remarkable conversion performance and good stability for HCHO removal. The presence of NO and SO2 exhibited a slight inhibitive effect on HCHO removal in the presence of 6% O2. The physicochemical properties of CuCe/AC were also studied by combination of N2 adsorption/desorption, SEM, XRD, H2-TPR, XPS and FT-IR. The excellent conversion property of Cu3Ce8/AC was related to the high surface area, large pore volume, high dispersion of copper species, good adsorption capacity and great redox ability of metal oxides. Besides, the synergy between Cu and Ce species improved the mobility of activated oxygen species and the content of chemisorption oxygen, which facilitated the conversion of HCHO greatly. FT-IR results suggested that adsorbed HCHO on the samples surface was oxidized into intermediates, which could be further decomposed into H2O and CO2 by the surface active oxygen of Cu3Ce8/AC. Along with the advantages of Cu3Ce8/AC, it would be a promising material for the removal of HCHO in real industrial application.",Download : Download high-res image (67KB)Download : Download full-size image,eng,naver
9,https://academic.naver.com/article.naver?doc_id=436230811,hcho removal,Simultaneous removal of HCHO and elemental mercury from flue gas over Co-Ce oxides supported on activated coke impregnated by sulfuric acid,"Chen Jiaqiang, Li Caiting, Li Shanhong, Lu Pei, Gao Lei, Du Xueyu, Yi Yaoyao",http://dx.doi.org/10.1016/j.cej.2018.01.043,"Elemental mercury, Formaldehyde, Co3O4-CeO2, Activated coke, Catalytic oxidation","To obtain a suitable catalyst for simultaneous removal of mercury and HCHO from waste flue gas, we prepared and investigated CoOx-CeO2 loaded on commercial activated coke granules treated with sulfate acid by impregnation method to remove the two toxic gases. The results revealed that the removal efficiencies of Hg0 and HCHO over Co8Ce3/ACs catalyst were 69.43% and 71.07% respectively in the presence of N2 and 6% O2 at 190 °C. And the presence of Hg0 had little impact on HCHO removal, but formaldehyde had a certain effect on Hg0 removal. In addition, the effects of individual flue gas component including O2, NO, SO2 and H2O on Hg0 and HCHO simultaneous removal performance over Co8Ce3/ACs catalyst were researched. The physicochemical properties of catalysts were characterized using BET, SEM, XRD, XPS, H2-TPR and FTIR. By analyzing these characterization results, it was found that the good removal property of the Co8Ce3/ACs catalyst was connected with good texture property, high dispersion of cobalt species and strong redox ability. Besides, the interaction between Co and Ce oxides phases could enhance the mobility of active oxygen species, which greatly improved the removal efficiencies of Hg0 and HCHO. Combined with the experiment and characterization results, end products of Hg0 and HCHO are mainly HgO, CO2 and H2O, respectively. So the mechanisms for simultaneous removal of mercury and HCHO were proposed. Of course, the Co8Ce3/ACs catalyst would be still modified to achieve the goal of practical industrial application.",Download : Download high-res image (52KB)Download : Download full-size image,eng,naver
10,https://academic.naver.com/article.naver?doc_id=294762130,hcho removal,Photocatalytic removal of NO and HCHO over nanocrystalline Zn2SnO4 microcubes for indoor air purification,"Ai Zhihui, Lee Shuncheng, Huang Yu, Ho Wingkei, Zhang Lizhi",http://dx.doi.org/10.1016/j.jhazmat.2010.02.071,"Zn
						2SnO
						4, NO, HCHO, Photocatalysis, Air Pollution, Indoor, prevention & control, Catalysis, Formaldehyde, chemistry, Microscopy, Electron, Scanning, Microscopy, Electron, Transmission, Nanoparticles, Nitric Oxide, Phenylhydrazines, Photochemistry, Spectrophotometry, Ultraviolet, Ultraviolet Rays, X-Ray Diffraction, Zinc Sulfate","Nanocrystalline Zn2SnO4 microcubes were hydrothermally synthesized and systematically characterized by XRD, SEM, TEM, XPS, N2 adsorption–desorption, and UV–vis DRS analysis. The resulting Zn2SnO4 microcubes with the edge size ranging from 0.8 to 1.2 μm were composed of numerous nanoparticles with size of 10–20 nm, and their optical band gap energy was estimated to be 3.25 eV from the UV–vis diffuse reflectance spectra. On degradation of nitrogen monoxide (NO) and formaldehyde (HCHO) at typical concentrations for indoor air quality, these nanocrystalline Zn2SnO4 microcubes exhibited superior photocatalytic activity to the hydrothermally synthesized ZnO, SnO2, and Degussa TiO2 P25, as well as C doped TiO2 under UV–vis light irradiation. This enhanced photocatalytic activity of the nanocrystalline Zn2SnO4 microcubes was attributed to their bigger surface areas, smaller particle size, special porous structures, and special electronic configuration. The nanocrystalline Zn2SnO4 microcubes were chemically stable as there was no obvious deactivation during the multiple photocatalytic reactions. This work presents a promising approach for scaling-up industrial production of Zn2SnO4 nanostructures and suggests that the synthesized nanocrystalline Zn2SnO4 microcubes are promising photocatalysts for indoor air purification.",,eng,naver
12,https://academic.naver.com/article.naver?doc_id=511351125,hcho removal,Pt/TiO2-ZnO in a circuit Photo-electro-catalytically removed HCHO for outstanding indoor air purification,"Cheng Nie, Lifen Liu, Rui He",http://dx.doi.org/10.1016/j.seppur.2018.06.024,"HCHO removal, Photo-electro-catalysis, Pt/TiO2-ZnO, Indoor air purification, Gas-liquid two phases system","HCHO removal from indoor air was usually slow and inefficient due to the low concentration but persistent release, inadequate oxidation and less efficient catalysts at room temperature. PEC (photo-electro-catalysis) can better remove pollutant than PC (photocatalysis) or EC (electro-catalysis), but was rarely used directly in indoor air purification, because often aqueous electrolyte was not considered in indoor air purification reactor. Theoretically, removing HCHO in indoor air by PEC is possible, the question is how to integrate gas phase reaction with electric field and electrolyte. In this article, using copper anode in a thin film liquid electrolyte and high activity Pt/TiO2-ZnO cathode, efficient HCHO removal was realized by photo-electro-catalytic oxidation. The nano catalyst was prepared by sol-gel method and loaded on stainless steel mesh as cathode. Its structure, morphology and photocatalytic properties were characterized. The effect of Pt loading and/or external resistances on the removal efficiencies were investigated. Within 120 min of reaction time, 74% HCHO (0.16 mg/m3, in 5.5610−3 m3 air volume) was removed using 36 cm2 cathode loaded with 4.1610−3 mg/cm2 catalyst, while only 42% and 53% was removed respectively in PC and EC using the same catalyst and reactor.",,eng,naver
13,https://academic.naver.com/article.naver?doc_id=236077828,hcho removal,The catalytic oxidation removal of low-concentration HCHO at high space velocity by partially crystallized mesoporous MnOx,"Wang Min, Zhang Lingxia, Huang Weimin, Xiu Tongping, Zhuang Chenggang, Shi Jianlin",http://dx.doi.org/10.1016/j.cej.2017.03.098,"Catalytic oxidation, HCHO removal, Manganese oxides, Mesoporous catalyst, Air cleaner","Efficient removal of low-concentration HCHO at room temperature and high space velocity without using noble metals is still a great challenge to date. In this work, we have fabricated partially crystallized mesoporous MnOx by redox precipitation reaction between potassium permanganate and oxalic acid, followed by NaBH4 post-treatment at room temperature. The as-synthesized MnOx was coated on honeycomb ceramics and the obtained monolithic catalyst exhibited high efficiency in removing low-concentration HCHO (1 ppm and 0.2 ppm) at a space velocity of ∼48,000 h−1. When operated at 85 °C, the monolithic catalyst showed further improved HCHO removal efficiency and durable performance. And with humidity, the catalyst also showed enhanced catalytic activity and prolonged life. The multiple valence states of Mn, high surface area together with the high content of surface-adsorbed oxygen species have been identified and proposed to be responsible for its high catalytic activity in HCHO oxidation removal.",Download : Download high-res image (321KB)Download : Download full-size image,eng,naver
17,https://academic.naver.com/article.naver?doc_id=517168217,hcho removal,Rapid removal of trace HCHO from indoor air by an air purifier consisting of a continuous concentrator and photocatalytic reactor and its computer simulation,"Fumihide Shiraishi, Takeshi Nomura, Shunsuke Yamaguchi, Yusuke Ohbuchi",http://dx.doi.org/10.1016/j.cej.2006.09.018,"Photocatalytic reactor, Continuous concentrator, Mathematical model, Formaldehyde, Computer simulation",A mathematical model has been constructed for the removal of gaseous HCHO at a very low concentration level in a closed room by use of an air purifier that consists of a photocatalytic reactor combined with a continuous adsorption and desorption concentrator and the performance of the air purifier has been evaluated by computer simulation. The calculated result for the time course of the HCHO concentration in a 10 m3 closed room shows that the mathematical model can satisfactorily describe the time-transient behavior of the experimental values. The computer simulation for the treatment of HCHO in an actual dwelling house with the continuous release of HCHO from the building materials indicates that the air purifier can steadily keep the HCHO concentration below the WHO guideline (<80 ppb).,,eng,naver
19,https://academic.naver.com/article.naver?doc_id=235880064,hcho removal,Co3O4 nanorod-supported Pt with enhanced performance for catalytic HCHO oxidation at room temperature,"Yan Zhaoxiong, Xu Zhihua, Cheng Bei, Jiang Chuanjia",http://dx.doi.org/10.1016/j.apsusc.2017.02.010,"Co3O4, Catalytic oxidation, Room temperature, Formaldehyde removal, Microwave hydrothermal synthesis","Formaldehyde (HCHO) removal from air at room (ambient) temperature by effective catalysts is of significance for improving indoor air quality, and catalysts with high efficiency and good recyclability are highly desirable. In this study, platinum (Pt) supported on nanorod-shaped Co3O4 (Pt/Co3O4) was prepared by calcination of microwave-assisted synthesized Co3O4 precursor followed by NaBH4-reduction of Pt precursor. The as-prepared Co3O4 exhibited a morphology of nanorods with lengths of 400–700 nm and diameters of approximately 40–50 nm, which were self-assembled by nanoparticles. The Pt/Co3O4 catalyst exhibited a superior catalytic performance for HCHO oxidation at room temperature compared to Pt supported on commercial Co3O4 (Pt/Co3O4-c) and Pt supported on commercial TiO2 (Pt/TiO2), which is mainly due to the high oxygen mobility resulting from its distinct nanorod morphology, strong metal-support interaction between Pt and Co3O4, and the intrinsic redox nature of the Co3O4 support. This study provides new insights into the fabrication of high-performance catalysts for indoor air purification.",Download : Download high-res image (187KB)Download : Download full-size image,eng,naver
