rank,search_url,search_keyword,title,author,doi_url,keywords,abstract,highlight,lang,search_site
4,https://academic.naver.com/article.naver?doc_id=551216801,car,"Car use: lust and must. Instrumental, symbolic and affective motives for car use",Linda Steg,http://dx.doi.org/10.1016/j.tra.2004.07.001,"Car use, Motives, Instrumental function, Symbolic function, Affect","This paper reports results of two questionnaire studies aimed at examining various motives for car use. In the first study, a random selection of 185 respondents who possess a driving licence were interviewed. Respondents were recruited from the cities of Groningen and Rotterdam, The Netherlands. The sample of the second study comprised a random selection of 113 commuters who regularly travelled during rush hours in and around Rotterdam, a region in the west of the Netherlands. First, it was examined which categories of car use motives may be distinguished. As proposed by Dittmar’s (1992) [The social psychology of material possessions: to have is to be. Havester Wheatsheaf, Hemel Hempstead, UK; St. Martin’s Press, New York] model on the meaning of material possessions, results from both studies revealed that car use not only fulfils instrumental functions, but also important symbolic and affective functions. Second, it was studied to what extent these different motives are related to the level of car use. From the results of study 2, it appeared that commuter car use was most strongly related to symbolic and affective motives, and not to instrumental motives. Third, individual differences in the relative importance of the three categories of motives were investigated. In both studies, most group differences were found in the evaluation of the symbolic and affective motives (and not the instrumental ones). Especially frequent drivers, respondents with a positive car attitude, male and younger respondents valued these non-instrumental motives for car use. These results suggest that policy makers should not exclusively focus on instrumental motives for car use, but they should consider the many social and affective motives as well.",,eng,naver
6,https://academic.naver.com/article.naver?doc_id=294878072,car,What will be the environmental effects of new free-floating car-sharing systems? The case of car2go in Ulm,"Firnkorn Jörg, Müller Martin",http://dx.doi.org/10.1016/j.ecolecon.2011.03.014,"Car-sharing, Environmental effect, Free-floating system, Public–private transportation, Product–service system","The purpose of this paper is the discussion of the environmental effects of a free-floating car-sharing system operating in Ulm, Germany. The system, called car2go, allows users to take and leave vehicles at any point within the city limits. Thus opposed to traditional car-sharing, there are no fixed stations and in particular one-way trips of any length are possible without a booking requirement. Since this is the first free-floating system in operation, there is as yet no associated empirical research. Based on primary data from a survey, a model was developed to forecast the environmental impact of car2go. The prognosis considers the period of five years after the launch of car2go in 2009 and indicates a CO2-reduction per average car2go-user. In addition, more than a quarter of the survey respondents stated that they may forgo a car purchase if car2go was offered permanently. By reaching a greater share of citizens than traditional systems, the results indicate that free-floating car-sharing systems could contribute to reducing private vehicle ownership in cities.","► This study discusses the environmental effects of a free-floating car-sharing system. ► The applied research design is a forecast, based on a quantitative survey. ► The results are similar per average car-sharing user compared to traditional systems. ► But through a higher market penetration more users are reached. ► Free-floating fleets could reduce car ownership in cities.",eng,naver
8,https://academic.naver.com/article.naver?doc_id=531870151,car,Car-following: a historical review,"Mark Brackstone, Mike McDonald",http://dx.doi.org/10.1016/S1369-8478(00)00005-X,"Car-following, Microscopic simulation modelling, Calibration, Time-series","In recent years, the topic of car-following has become of increased importance in traffic engineering and safety research. Models of this phenomenon, which describe the interaction between (typically) adjacent vehicles in the same lane, now form the cornerstone for many important areas of research including (a) simulation modelling, where the car-following model (amongst others) controls the motion of the vehicles in the network, and (b) the functional definition of advanced vehicle control and safety systems (AVCSS), which are being introduced as a driver safety aid in an effort to mimic driver behaviour but remove human error. Despite the importance of this area however, no overview of the models availability and validity exists. It is the intent of this paper therefore to briefly assess the range of options available in the choice of car-following model, and assess just how far work has proceeded in our understanding of what, at times, would appear to be a simple process.",,eng,naver
11,https://academic.naver.com/article.naver?doc_id=341303737,car,The cortisol awakening response (CAR): Facts and future directions,"Eva Fries, Lucia Dettenborn, Clemens Kirschbaum",http://dx.doi.org/10.1016/j.ijpsycho.2008.03.014,"Cortisol awakening response, Hypothalamic–pituitary–adrenal axis, Hippocampus, Animals, Anti-Inflammatory Agents, Humans, Hydrocortisone, metabolism, pharmacology, Hypothalamo-Hypophyseal System, drug effects, physiology, Pituitary-Adrenal System, Wakefulness","In humans, the secretion of cortisol from the adrenal glands follows a diurnal cycle with a profound increase after awakening. This increase after awakening, a phenomenon termed the cortisol awakening response (CAR), appears to be a distinct feature of the hypothalamus–pituitary–adrenal (HPA) axis, superimposing the circadian rhythmicity of cortisol secretion. Several studies point towards an important role of the hippocampus and, additionally, other brain structures (e. g. amygdala, prefrontal cortex, suprachiasmatic nucleus) in the regulation of the CAR. There is increasing knowledge that the CAR is influenced by a variety of factors such as gender, health status, and health behavior or stress perception. However, the exact function of the profound cortisol increase after awakening is still not clarified. We hypothesize that the anticipation of the upcoming day is of major relevance for the magnitude of the CAR. The present paper reviews the current knowledge on the neural regulation of the CAR and factors influencing this phenomenon and considerations are addressed concerning the exact function of the CAR.",,eng,naver
16,https://academic.naver.com/article.naver?doc_id=294699002,car,Regulation of drug-metabolizing enzymes by xenobiotic receptors: PXR and CAR,"Tolson Antonia H, Wang Hongbing",http://dx.doi.org/10.1016/j.addr.2010.08.006,"PXR, CAR, Xenobiotic receptor, Drug-metabolizing enzyme, Transporter, Animals, Biological Transport, Carrier Proteins, genetics, metabolism, Gene Expression Regulation, Humans, Inactivation, Metabolic, Ligands, Receptors, Aryl Hydrocarbon, Receptors, Cytoplasmic and Nuclear, Receptors, Steroid, Transcription Factors, Xenobiotics","Drug-metabolizing enzymes (DMEs) and transporters play pivotal roles in the disposition and detoxification of numerous foreign and endogenous chemicals. To accommodate chemical challenges, the expression of many DMEs and transporters is up-regulated by a group of ligand-activated transcription factors namely nuclear receptors (NRs). The importance of NRs in xenobiotic metabolism and clearance is best exemplified by the most promiscuous xenobiotic receptors: pregnane X receptor (PXR, NR1I2) and constitutive androstane/activated receptor (CAR, NR1I3). Together, these two receptors govern the inductive expression of a largely overlapping array of target genes encoding phase I and II DMEs, and drug transporters. Moreover, PXR and CAR also represent two distinctive mechanisms of NR activation, whereby CAR demonstrates both constitutive and ligand-independent activation. In this review, recent advances in our understanding of PXR and CAR as xenosensors are discussed with emphasis placed on the differences rather than similarities of these two xenobiotic receptors in ligand recognition and target gene regulation.",,eng,naver
21,https://academic.naver.com/article.naver?doc_id=299595569,car,A compound compensation method for car-following model,"Zhu Wen-Xing, Jun Du, Zhang Li-Dong",http://dx.doi.org/10.1016/j.cnsns.2016.03.019,"Car-following model, Compound compensation, Stability analysis","A compound compensation mechanism was introduced into the car-following system. Two basic compensation methods were combined to generate a compound control strategy to improve the performance of the traffic flow system. The compensation effect was analyzed with unit step response in time domain and bode diagram in frequency domain, respectively. Two lemmas and one theorem were proved with the use of Routh criteria and small gain theorem. Numerical simulations were conducted in two situations under three types of condition. The simulation results verify the truth that with the increasing compensation parameters the stability of the car-following system is strengthened. It is shown that numerical results are in accordance with analytical results. In general, the performance of car-following model can be improved with an exterior control method.",,eng,naver
22,https://academic.naver.com/article.naver?doc_id=234108470,car,A new car-following model with the consideration of the driver's forecast effect,"Tang T.Q, Li C.Y, Huang H.J",http://dx.doi.org/10.1016/j.physleta.2010.07.062,"Car-following model, Driver's forecast effect, Traffic flow, Stability","In this Letter, we develop a new car-following model with the consideration of the driver's forecast effect (DFE). The analytical and numerical results show that the stability of traffic flow will gradually be enhanced with the increase of the forecast effect coefficient and the forecast time.",,eng,naver
23,https://academic.naver.com/article.naver?doc_id=234108164,car,A dynamical model of car-following with the consideration of the multiple information of preceding cars,"Peng G.H, Sun D.H",http://dx.doi.org/10.1016/j.physleta.2010.02.020,"Traffic flow, Car-following model, Simulation","An improved multiple car-following (MCF) model is proposed, based on the full velocity difference (FVD) model, but taking into consideration multiple information inputs from preceding vehicles. The linear stability condition of the model is obtained by using the linear stability theory. Through nonlinear analysis, the modified Korteweg–de Vries (mKdV) equation is derived to describe the traffic behavior near the critical point. Numerical simulation shows that the proposed model is theoretically an improvement over others, while retaining many strong points in the previous ones by adjusting the information of the multiple leading vehicles.",,eng,naver
24,https://academic.naver.com/article.naver?doc_id=299656255,car,Treatment of Metastatic Renal Cell Carcinoma With CAIX CAR-engineered T cells: Clinical Evaluation and Management of On-target Toxicity,"Lamers Cor HJ, Sleijfer Stefan, van Steenbergen Sabine, van Elzakker Pascal, van Krimpen Brigitte, Groot Corrien, Vulto Arnold, den Bakker Michael, Oosterwijk Egbert, Debets Reno, Gratama Jan W",http://dx.doi.org/10.1038/mt.2013.17,"Carbonic Anhydrases, metabolism, Carcinoma, Renal Cell, drug therapy, immunology, Cytokines, Flow Cytometry, Gene Dosage, genetics, Humans, Immunohistochemistry, Kidney Neoplasms, T-Lymphocytes, Treatment Outcome","Autologous T cells genetically modified to express a chimeric antibody receptor (CAR) against carboxy-anhydrase-IX (CAIX) were administered to 12 patients with CAIX-expressing metastatic renal cell carcinoma (RCC). Patients were treated in three cohorts with a maximum of 10 infusions of a total of 0.2 to 2.1 × 109 CAR T cells. CTC grade 2–4 liver enzyme disturbances occurred at the lowest CAR T cell doses, necessitating cessation of treatment in four out of eight patients in cohorts 1 and 2. Examination of liver biopsies revealed CAIX expression on bile duct epithelium with infiltration of T cells, including CAR T cells. Subsequently four patients were pre-treated with CAIX monoclonal antibody (mAb) G250 to prevent CAR-specific toxicity and showed no liver toxicities and indications for enhanced peripheral T cell persistence. No clinical responses were recorded. This report shows that CAIX-targeting CAR T cells exerted antigen-specific effects in vivo and induced liver toxicity at the lowest dose of 0.2 × 109 T cells applied, illustrating the potency of receptor-modified T cells. We provide in-patient proof that the observed “on-target” toxicity is antigen-directed and can be prevented by blocking antigenic sites in off-tumor organs and allowing higher T cell doses.",,eng,naver
25,https://academic.naver.com/article.naver?doc_id=553680868,car,An extended two-lane car-following model accounting for inter-vehicle communication,"Hui Ou, Tie-Qiao Tang",http://dx.doi.org/10.1016/j.physa.2017.12.100,"Two-lane car-following model, Inter-vehicle communication, Incident","In this paper, we develop a novel car-following model with inter-vehicle communication to explore each vehicle’s movement in a two-lane traffic system when an incident occurs on a lane. The numerical results show that the proposed model can perfectly describe each vehicle’s motion when an incident occurs, i.e., no collision occurs while the classical full velocity difference (FVD) model produces collision on each lane, which shows the proposed model is more reasonable. The above results can help drivers to reasonably adjust their driving behaviors when an incident occurs in a two-lane traffic system.",,eng,naver
